manufacturer,model,age,odometer,fuel,transmission,engine_cc,max_power,seats,price,region,type,cylinders,drive
maruti,wagon r,12,23710,petrol,manual,998,67.1,5,190000,,,,
mercedes-benz,e-class,8,68000,diesel,automatic,2143,203.0,5,1690000,,,,
renault,kwid,3,36000,petrol,automatic,999,67.0,5,395000,,,,
maruti,celerio,4,15500,petrol,automatic,998,67.04,5,485000,,,,
mercedes-benz,e-class,2,11000,diesel,automatic,1950,191.7,5,5275000,,,,
skoda,superb,12,68387,petrol,automatic,3597,260.0,5,499000,,,,
maruti,ertiga,9,73000,diesel,manual,1248,88.76,7,589000,,,,
audi,a6,8,56787,diesel,automatic,1968,174.33,5,1650000,,,,
toyota,innova,5,119000,diesel,manual,2393,147.8,7,1400000,,,,
volkswagen,polo,3,18523,petrol,automatic,1798,189.0,4,875000,,,,
bmw,x3,2,8620,diesel,automatic,1995,187.7,5,6100000,,,,
ford,ecosport,2,67000,diesel,manual,1498,98.96,5,979000,,,,
maruti,wagon r,6,50000,cng,manual,998,58.16,5,450000,,,,
hyundai,grand,5,40125,petrol,manual,1197,82.0,5,540000,,,,
hyundai,i20,12,57000,petrol,manual,1197,80.0,5,275000,,,,
hyundai,grand,2,15000,petrol,manual,1197,81.86,5,575000,,,,
ford,ecosport,6,39720,petrol,manual,999,123.24,5,650000,,,,
ford,ecosport,4,26000,diesel,manual,1498,98.96,5,700000,,,,
skoda,octavia,7,79000,diesel,automatic,1968,141.0,5,1200000,,,,
maruti,vitara,3,15734,diesel,automatic,1248,88.5,5,1020000,,,,
maruti,wagon r,13,55000,petrol,manual,998,67.05,5,175000,,,,
maruti,vitara,3,30000,diesel,manual,1248,88.5,5,760000,,,,
mercedes-benz,e-class,4,26000,petrol,automatic,1991,184.0,5,4150000,,,,
maruti,wagon r,16,138008,petrol,manual,998,67.1,5,110000,,,,
mercedes-benz,gl-class,5,32000,diesel,automatic,2143,168.0,5,3850000,,,,
honda,amaze,3,41612,petrol,manual,1198,86.7,5,575000,,,,
toyota,innova,7,69000,diesel,manual,2494,102.0,8,1120000,,,,
hyundai,i20,10,89000,petrol,automatic,1396,100.0,5,325000,,,,
mahindra,xuv500,9,200000,diesel,manual,2179,140.0,7,600000,,,,
maruti,celerio,5,16000,petrol,automatic,998,67.04,5,445000,,,,
maruti,ertiga,4,30900,cng,manual,1373,80.46,7,820000,,,,
hyundai,verna,9,71452,diesel,automatic,1582,126.32,5,495000,,,,
ford,figo,6,52000,diesel,manual,1498,99.0,5,550000,,,,
toyota,fortuner,11,64000,diesel,manual,2982,171.0,7,1085000,,,,
mahindra,xuv500,6,135884,diesel,manual,2179,140.0,7,950000,,,,
ford,ecosport,6,60000,diesel,manual,1498,98.59,5,800000,,,,
honda,city,5,100000,diesel,manual,1498,98.6,5,850000,,,,
renault,kwid,5,35000,petrol,manual,799,53.3,5,299000,,,,
maruti,swift,6,107000,diesel,manual,1248,74.0,5,600000,,,,
volkswagen,polo,7,68000,diesel,manual,1498,88.8,5,450000,,,,
tata,tiago,3,14902,petrol,manual,1199,83.83,5,310000,,,,
bmw,7,5,37000,diesel,automatic,2993,261.49,4,6400000,,,,
renault,duster,6,80342,diesel,manual,1461,83.8,5,580000,,,,
toyota,fortuner,10,79431,diesel,manual,2982,168.5,7,990000,,,,
maruti,swift dzire,8,21000,petrol,manual,1298,85.8,5,470000,,,,
renault,duster,8,53000,diesel,manual,1461,83.8,5,475000,,,,
maruti,wagon r,4,17745,petrol,manual,998,67.04,5,500000,,,,
honda,amaze,8,54642,diesel,manual,1498,98.6,5,390000,,,,
hyundai,i10,11,77739,petrol,automatic,1197,78.9,5,290000,,,,
maruti,celerio,5,36000,petrol,automatic,998,67.04,5,450000,,,,
hyundai,grand,3,31025,petrol,automatic,1197,81.86,5,596000,,,,
maruti,vitara,5,83000,diesel,manual,1248,88.5,5,650000,,,,
maruti,ignis,4,26000,petrol,manual,1197,81.8,5,490000,,,,
volkswagen,vento,2,4200,petrol,manual,1598,103.2,5,875000,,,,
toyota,innova,8,74000,diesel,manual,2494,100.6,8,950000,,,,
skoda,rapid,5,56789,diesel,automatic,1498,103.52,5,775000,,,,
maruti,ertiga,5,37000,petrol,manual,1373,91.1,7,695000,,,,
mercedes-benz,e-class,10,57000,diesel,automatic,2143,203.0,5,1125000,,,,
hyundai,i20,9,90000,petrol,manual,1197,80.0,5,310000,,,,
ford,figo,6,20319,petrol,manual,1196,86.8,5,355000,,,,
renault,duster,7,76000,diesel,manual,1461,108.45,5,541000,,,,
toyota,innova,9,174000,diesel,manual,2494,102.0,8,850000,,,,
jaguar,xf,6,28000,diesel,automatic,2179,187.7,5,2400000,,,,
audi,a6,10,110000,diesel,automatic,1968,174.33,5,1000000,,,,
maruti,swift dzire,11,80000,petrol,manual,1197,83.14,5,325000,,,,
hyundai,i20,5,50000,petrol,manual,1197,81.83,5,540000,,,,
hyundai,creta,4,45000,petrol,automatic,1591,121.3,5,1175000,,,,
maruti,wagon r,5,60000,petrol,manual,998,67.04,5,350000,,,,
hyundai,i20,11,77000,petrol,manual,1197,80.0,5,300000,,,,
hyundai,i20,8,33000,petrol,manual,1197,82.9,5,325000,,,,
mahindra,xuv500,6,57000,diesel,manual,1997,140.0,7,925000,,,,
skoda,superb,6,59000,diesel,automatic,1968,138.03,5,1245000,,,,
hyundai,i10,12,120000,petrol,manual,1086,68.05,5,150000,,,,
maruti,ciaz,7,43612,petrol,manual,1373,91.1,5,555000,,,,
bmw,3,6,37000,diesel,automatic,1995,190.0,5,1950000,,,,
hyundai,i20,3,49000,diesel,manual,1396,88.73,5,840000,,,,
maruti,ertiga,5,43000,cng,manual,1373,80.46,7,775000,,,,
honda,city,7,63000,petrol,manual,1497,118.0,5,275000,,,,
maruti,ertiga,3,78000,cng,manual,1462,91.19,7,825000,,,,
honda,city,4,19900,petrol,manual,1497,117.3,5,950000,,,,
maruti,baleno,6,47000,petrol,manual,1197,83.1,5,570000,,,,
maruti,wagon r,10,75000,cng,manual,998,58.16,5,275000,,,,
tata,tiago,4,30000,petrol,manual,1199,84.0,5,450000,,,,
honda,city,13,75000,petrol,manual,1497,78.0,5,190000,,,,
toyota,camry,5,65300,petrol,automatic,2494,178.4,5,1471000,,,,
tata,tiago,2,35000,petrol,manual,1199,84.0,5,490000,,,,
ford,figo,5,145000,diesel,manual,1498,99.0,5,400000,,,,
honda,city,6,30000,petrol,manual,1497,117.3,5,510000,,,,
maruti,alto,7,45000,petrol,manual,998,67.05,5,250000,,,,
volkswagen,polo,3,14000,petrol,manual,999,108.62,5,655000,,,,
renault,kwid,4,15000,petrol,manual,799,53.3,5,350000,,,,
renault,kwid,4,16000,petrol,manual,999,67.0,5,315000,,,,
hyundai,grand,6,20000,diesel,manual,1120,70.0,5,500000,,,,
maruti,swift dzire,7,64000,diesel,manual,1248,74.0,5,545000,,,,
maruti,ertiga,9,67000,diesel,manual,1248,88.76,7,625000,,,,
honda,jazz,5,10000,petrol,manual,1199,88.7,5,500000,,,,
honda,city,7,70000,diesel,manual,1498,98.6,5,540000,,,,
hyundai,i20,5,50507,petrol,manual,1197,81.83,5,650000,,,,
audi,a6,4,27000,diesel,automatic,1968,187.74,5,2600000,,,,
honda,city,7,73000,diesel,manual,1498,98.6,5,625000,,,,
maruti,alto,12,60000,petrol,manual,796,46.3,5,125000,,,,
maruti,wagon r,8,83000,petrol,manual,998,67.1,5,335000,,,,
maruti,wagon r,6,40000,petrol,manual,998,67.04,5,350000,,,,
hyundai,grand,4,32212,petrol,manual,1197,81.86,5,500000,,,,
hyundai,creta,3,24000,diesel,automatic,1582,126.2,5,1350000,,,,
maruti,swift,10,70000,petrol,manual,1197,85.8,5,325000,,,,
maruti,swift dzire,4,124000,diesel,manual,1248,74.0,5,590000,,,,
hyundai,i20,9,36000,petrol,manual,1197,80.0,5,385000,,,,
maruti,alto,4,34153,petrol,manual,796,47.3,5,320000,,,,
mahindra,kuv,4,50000,petrol,manual,1198,82.0,6,390000,,,,
volkswagen,polo,5,45000,petrol,automatic,1197,103.5,5,665000,,,,
maruti,wagon r,10,48000,petrol,manual,998,67.1,5,235000,,,,
mercedes-benz,e-class,7,70001,diesel,automatic,2143,204.0,5,2025000,,,,
tata,tigor,3,60000,petrol,manual,1199,84.0,5,550000,,,,
maruti,swift,6,78000,petrol,manual,1197,85.8,5,450000,,,,
toyota,camry,13,138000,petrol,automatic,2362,164.7,5,400000,,,,
honda,cr-v,5,84000,petrol,automatic,1997,141.1,5,1350000,,,,
toyota,innova,3,27000,diesel,automatic,2755,171.5,8,1800000,,,,
hyundai,verna,8,51000,diesel,manual,1582,126.32,5,625000,,,,
maruti,ertiga,7,62000,cng,manual,1373,80.9,7,650000,,,,
hyundai,i20,7,62000,diesel,manual,1396,88.76,5,430000,,,,
honda,city,12,120000,petrol,manual,1497,118.0,5,235000,,,,
toyota,innova,13,165999,diesel,manual,2494,100.0,7,461000,,,,
hyundai,i20,9,24600,petrol,manual,1197,80.0,5,330000,,,,
maruti,baleno,3,17947,petrol,automatic,1197,83.1,5,825000,,,,
maruti,swift dzire,3,29000,petrol,automatic,1197,83.14,5,630000,,,,
maruti,wagon r,8,60000,petrol,manual,998,67.04,5,260000,,,,
mercedes-benz,c-class,8,71000,diesel,automatic,2143,170.0,5,1185000,,,,
hyundai,creta,6,67000,diesel,automatic,1582,126.2,5,1059000,,,,
maruti,wagon r,8,62500,petrol,manual,998,67.05,5,300000,,,,
hyundai,santro,2,4700,petrol,automatic,1086,68.0,5,550000,,,,
maruti,swift dzire,3,27000,diesel,automatic,1248,74.02,5,725000,,,,
ford,figo,9,46573,petrol,manual,1196,70.0,5,269000,,,,
maruti,ertiga,5,68500,petrol,automatic,1373,91.1,7,765000,,,,
maruti,swift dzire,9,70000,diesel,manual,1248,73.9,5,485000,,,,
tata,tigor,4,24900,diesel,manual,1047,69.0,5,675000,,,,
hyundai,grand,5,20000,petrol,manual,1197,82.0,5,510000,,,,
honda,city,14,70000,petrol,manual,1497,78.0,5,350000,,,,
maruti,swift,8,79000,diesel,manual,1248,74.0,5,448000,,,,
tata,tiago,4,20000,petrol,manual,1199,84.0,5,490000,,,,
maruti,alto,4,90000,petrol,manual,796,47.3,5,255000,,,,
maruti,swift,4,36000,petrol,manual,1197,81.8,5,575000,,,,
mahindra,xuv500,7,72125,diesel,manual,2179,140.0,7,800000,,,,
mahindra,bolero,5,80000,diesel,manual,1493,70.0,7,700000,,,,
mercedes-benz,e-class,14,85250,petrol,automatic,1796,157.7,5,499000,,,,
maruti,wagon r,8,55149,petrol,manual,998,67.04,5,311000,,,,
volkswagen,polo,3,22000,petrol,automatic,1197,103.6,5,760000,,,,
skoda,octavia,6,110000,petrol,automatic,1798,177.5,5,990000,,,,
toyota,innova,10,68900,diesel,manual,2494,102.0,7,665000,,,,
maruti,ciaz,4,27400,petrol,manual,1373,91.1,5,655000,,,,
mercedes-benz,c-class,11,67900,diesel,automatic,2143,204.0,5,950000,,,,
mercedes-benz,s-class,5,41000,petrol,automatic,5461,362.9,5,11000000,,,,
maruti,swift dzire,5,30000,petrol,manual,1298,85.8,5,600000,,,,
honda,city,5,57000,petrol,manual,1497,117.3,5,725000,,,,
maruti,swift dzire,3,70000,petrol,manual,1197,81.8,5,550000,,,,
maruti,celerio,4,66000,cng,manual,998,58.2,5,450000,,,,
honda,amaze,6,65445,petrol,manual,1198,86.7,5,499000,,,,
tata,tiago,3,42000,diesel,manual,1047,69.0,5,495000,,,,
honda,amaze,8,31497,petrol,manual,1198,86.7,5,393000,,,,
maruti,baleno,3,26600,petrol,manual,1197,81.8,5,665000,,,,
hyundai,i20,2,5000,petrol,manual,1197,81.86,5,710000,,,,
ford,endeavour,4,40000,diesel,automatic,3198,197.0,7,2850000,,,,
renault,kwid,3,10000,petrol,manual,999,67.0,5,385000,,,,
hyundai,i20,8,62000,diesel,manual,1396,90.0,5,425000,,,,
hyundai,grand,5,42845,petrol,manual,1197,82.0,5,438000,,,,
maruti,swift dzire,3,115000,cng,manual,1197,81.8,5,450000,,,,
maruti,vitara,2,29000,diesel,automatic,1248,88.5,5,1055000,,,,
toyota,innova,11,191876,diesel,manual,2494,102.0,8,670000,,,,
maruti,swift,6,110000,diesel,manual,1248,74.0,5,500000,,,,
maruti,alto,10,69000,petrol,manual,796,46.3,5,140000,,,,
hyundai,i10,10,24600,petrol,manual,1197,78.9,5,240000,,,,
maruti,baleno,4,34428,petrol,manual,1197,83.1,5,625000,,,,
maruti,baleno,5,49551,petrol,manual,1197,83.1,5,620000,,,,
hyundai,i10,12,57800,petrol,manual,1197,78.9,5,255000,,,,
honda,city,4,44897,petrol,automatic,1497,117.6,5,850000,,,,
maruti,swift dzire,3,35000,diesel,manual,1248,74.02,5,800000,,,,
toyota,innova,4,55000,diesel,automatic,2755,171.5,8,1755000,,,,
bmw,6,8,34000,diesel,automatic,2993,313.0,4,3499000,,,,
tata,tiago,2,35000,diesel,manual,1047,69.0,5,550000,,,,
maruti,ertiga,8,73000,diesel,manual,1248,88.5,7,665000,,,,
mahindra,scorpio,10,105000,diesel,manual,2179,120.0,8,460000,,,,
hyundai,elantra,4,55000,diesel,automatic,1582,126.2,5,1500000,,,,
maruti,baleno,4,43000,petrol,manual,1197,83.1,5,700000,,,,
jaguar,xf,6,34600,diesel,automatic,2179,187.7,5,2545000,,,,
maruti,swift,3,20000,diesel,manual,1248,74.0,5,790000,,,,
volkswagen,vento,9,70000,diesel,manual,1598,103.6,5,280000,,,,
maruti,wagon r,5,51000,cng,manual,998,58.16,5,375000,,,,
hyundai,i20,5,27884,petrol,manual,1197,81.83,5,629000,,,,
hyundai,i20,4,37000,diesel,manual,1396,88.73,5,680000,,,,
toyota,innova,9,500000,diesel,manual,2494,100.0,7,650000,,,,
toyota,innova,5,51000,diesel,automatic,2755,171.5,7,1775000,,,,
maruti,swift dzire,6,104000,diesel,manual,1248,74.02,5,395000,,,,
toyota,innova,4,110000,diesel,manual,2393,147.8,7,1700000,,,,
maruti,wagon r,11,57000,petrol,manual,998,67.1,5,211000,,,,
renault,duster,9,100000,diesel,manual,1461,83.8,5,400000,,,,
toyota,fortuner,11,74000,diesel,manual,2982,171.0,7,1050000,,,,
toyota,innova,4,109000,diesel,manual,2393,147.51,8,1575000,,,,
hyundai,grand,7,82530,petrol,manual,1197,82.0,5,490000,,,,
hyundai,i20,10,23000,petrol,manual,1197,80.0,5,340000,,,,
maruti,alto,2,7602,petrol,automatic,998,67.05,5,425000,,,,
maruti,vitara,4,77665,diesel,manual,1248,88.5,5,850000,,,,
mahindra,thar,3,11000,diesel,manual,2523,63.0,7,771000,,,,
hyundai,santro,11,35000,lpg,manual,1086,62.1,5,230000,,,,
audi,q7,6,72000,diesel,automatic,2967,241.4,7,2900000,,,,
toyota,innova,10,108800,diesel,manual,2494,102.0,7,595000,,,,
maruti,alto,13,30000,petrol,manual,796,46.3,5,175000,,,,
volkswagen,polo,9,38000,diesel,manual,1199,73.9,5,295000,,,,
maruti,swift dzire,6,86000,diesel,manual,1248,74.0,5,675000,,,,
hyundai,verna,3,18000,diesel,manual,1582,126.2,5,1150000,,,,
volkswagen,polo,3,27000,petrol,automatic,1197,103.5,5,875000,,,,
mg,hector,2,9293,petrol,automatic,1451,141.0,5,1630000,,,,
mercedes-benz,s-class,10,90000,diesel,automatic,2987,282.0,5,1839000,,,,
maruti,ertiga,4,65000,cng,manual,1462,91.19,7,740000,,,,
volkswagen,polo,6,65817,diesel,manual,1498,88.8,5,580000,,,,
maruti,wagon r,8,50287,petrol,manual,998,67.04,5,360000,,,,
hyundai,creta,2,25000,diesel,manual,1582,126.2,5,1500000,,,,
maruti,eeco,11,40000,cng,manual,1196,63.0,5,190000,,,,
jaguar,xf,8,33500,diesel,automatic,2179,187.7,5,1895000,,,,
hyundai,i20,5,75000,petrol,manual,1197,81.83,5,525000,,,,
hyundai,i20,8,130000,diesel,manual,1396,88.76,5,400000,,,,
renault,kwid,4,54000,petrol,automatic,999,67.0,5,345000,,,,
mahindra,marazzo,3,40000,diesel,manual,1497,121.0,7,1055000,,,,
maruti,alto,4,9210,petrol,manual,796,47.3,5,310000,,,,
maruti,swift dzire,9,20699,diesel,manual,1248,74.0,5,475000,,,,
maruti,ignis,3,25000,petrol,manual,1197,81.8,5,576000,,,,
maruti,celerio,2,18000,petrol,manual,998,67.04,5,445000,,,,
mahindra,bolero,18,120000,diesel,manual,2523,63.0,7,100000,,,,
volkswagen,polo,7,70000,petrol,manual,1198,74.0,5,460000,,,,
maruti,wagon r,7,101200,petrol,manual,998,67.1,5,380000,,,,
mahindra,scorpio,5,35000,diesel,manual,2179,120.0,8,1150000,,,,
toyota,fortuner,8,80000,diesel,automatic,2982,168.5,7,1500000,,,,
hyundai,i20,6,42000,petrol,manual,1197,81.83,5,499000,,,,
maruti,alto,11,50000,petrol,manual,796,46.3,5,140000,,,,
ford,figo,10,55500,diesel,manual,1399,68.05,5,275000,,,,
mercedes-benz,gl-class,4,38000,diesel,automatic,2143,170.0,5,3675000,,,,
honda,city,18,177000,petrol,manual,1343,100.0,5,100000,,,,
toyota,fortuner,7,67400,diesel,automatic,2982,168.5,7,1795000,,,,
skoda,rapid,7,29000,petrol,manual,1598,105.0,5,490000,,,,
maruti,ciaz,5,94400,diesel,manual,1248,88.5,5,595000,,,,
datsun,redigo,3,15000,petrol,manual,799,53.64,5,340000,,,,
volkswagen,polo,5,30000,petrol,manual,1199,74.0,5,530000,,,,
hyundai,grand,3,15914,petrol,manual,1197,81.86,5,510000,,,,
mahindra,xuv500,6,72000,diesel,manual,2179,140.0,7,880000,,,,
maruti,eeco,6,60200,cng,manual,1196,61.7,5,385000,,,,
hyundai,verna,9,32472,petrol,manual,1591,121.3,5,448000,,,,
honda,city,5,57116,petrol,manual,1497,117.3,5,665000,,,,
jeep,compass,3,20000,diesel,manual,1956,170.0,5,800000,,,,
hyundai,venue,1,3200,petrol,automatic,998,118.35,5,1240000,,,,
volkswagen,polo,3,15000,petrol,manual,999,75.0,5,595000,,,,
hyundai,venue,2,16000,petrol,manual,998,118.35,5,975000,,,,
hyundai,elantra,8,80000,diesel,manual,1582,126.24,5,700000,,,,
toyota,innova,13,125000,diesel,manual,2494,102.0,8,450000,,,,
hyundai,verna,2,6500,petrol,manual,1591,121.3,5,1035000,,,,
hyundai,i20,8,7268,petrol,manual,1197,82.85,5,445000,,,,
maruti,ertiga,8,41000,petrol,manual,1373,93.7,7,585000,,,,
mercedes-benz,s-class,11,50312,diesel,automatic,2987,282.0,5,1455000,,,,
renault,kwid,5,37250,petrol,manual,799,53.3,5,325000,,,,
honda,civic,13,61000,petrol,manual,1799,130.0,5,245000,,,,
toyota,camry,6,49500,electric,automatic,2494,157.7,5,1850000,,,,
maruti,ertiga,6,76000,diesel,manual,1248,88.5,7,770000,,,,
hyundai,grand,5,21000,petrol,manual,1197,82.0,5,480000,,,,
volkswagen,polo,8,60000,petrol,manual,1198,73.9,5,350000,,,,
hyundai,verna,2,23150,diesel,automatic,1582,126.2,5,1385000,,,,
bmw,5,7,41265,diesel,automatic,1995,190.0,5,2799000,,,,
honda,city,6,66996,petrol,manual,1497,117.6,5,675000,,,,
maruti,alto,5,13000,petrol,manual,998,67.05,5,299000,,,,
maruti,baleno,4,17865,petrol,manual,1197,83.1,5,677000,,,,
maruti,vitara,4,67000,diesel,manual,1248,88.5,5,800000,,,,
maruti,ertiga,4,65000,diesel,manual,1248,88.5,7,1000000,,,,
tata,nexon,3,12000,diesel,manual,1497,108.5,5,885000,,,,
renault,duster,7,67647,diesel,manual,1461,83.8,5,575000,,,,
hyundai,grand,4,36643,diesel,manual,1186,73.97,5,555000,,,,
maruti,wagon r,2,7800,petrol,manual,1197,81.8,5,545000,,,,
hyundai,i20,8,70000,petrol,manual,1197,80.0,5,410000,,,,
honda,city,7,117000,diesel,manual,1498,98.6,5,691000,,,,
honda,city,7,39000,diesel,manual,1498,98.6,5,725000,,,,
maruti,baleno,3,9600,petrol,automatic,1197,81.8,5,825000,,,,
mahindra,xuv500,6,76000,diesel,manual,1997,140.0,7,776000,,,,
maruti,swift dzire,4,81000,petrol,manual,1197,83.14,5,625000,,,,
maruti,swift dzire,10,35000,petrol,manual,1298,85.8,5,350000,,,,
maruti,ciaz,5,49411,diesel,manual,1248,88.5,5,731000,,,,
hyundai,santro,2,20660,cng,manual,1086,58.0,5,565000,,,,
volkswagen,polo,7,51200,diesel,manual,1199,73.9,5,535000,,,,
maruti,alto,5,23774,petrol,manual,998,67.05,5,335000,,,,
hyundai,verna,8,51000,diesel,automatic,1582,126.32,5,550000,,,,
maruti,ciaz,5,86000,diesel,manual,1248,88.5,5,680000,,,,
maruti,alto,10,38643,petrol,manual,998,67.1,5,180000,,,,
mahindra,kuv,5,42800,diesel,manual,1198,77.0,6,485000,,,,
maruti,baleno,4,26251,petrol,manual,1197,83.1,5,662000,,,,
mahindra,kuv,5,11800,diesel,manual,1198,77.0,5,450000,,,,
maruti,wagon r,12,70000,petrol,manual,1061,67.0,5,150000,,,,
hyundai,verna,2,22000,diesel,automatic,1582,126.2,5,1375000,,,,
tata,nexon,3,21000,diesel,automatic,1497,108.5,5,960000,,,,
bmw,5,2,6000,diesel,automatic,2993,261.49,5,5700000,,,,
maruti,alto,10,53000,petrol,manual,998,67.05,5,235000,,,,
ford,figo,9,35000,petrol,manual,1196,70.0,5,245000,,,,
skoda,superb,9,97000,diesel,automatic,1968,138.1,5,699000,,,,
mahindra,xuv500,6,43000,diesel,manual,2179,140.0,7,849000,,,,
maruti,alto,9,120000,petrol,manual,796,47.3,5,140000,,,,
toyota,innova,5,62000,diesel,automatic,2755,171.5,8,1600000,,,,
renault,duster,8,39000,diesel,manual,1461,108.45,5,450000,,,,
volkswagen,vento,6,100000,diesel,manual,1498,103.2,5,590000,,,,
maruti,swift dzire,3,30000,diesel,manual,1248,74.02,5,775000,,,,
hyundai,i20,11,100000,petrol,manual,1197,80.0,5,310000,,,,
hyundai,verna,10,54000,diesel,manual,1582,126.32,5,435000,,,,
maruti,wagon r,4,18000,petrol,automatic,998,67.0,5,475000,,,,
maruti,vitara,5,100000,diesel,manual,1248,88.5,5,800000,,,,
mahindra,scorpio,7,60000,diesel,manual,2179,120.0,7,851000,,,,
honda,civic,2,12000,petrol,automatic,1799,139.46,5,2050000,,,,
hyundai,grand,6,75000,petrol,manual,1197,81.86,5,415000,,,,
hyundai,verna,4,49000,diesel,automatic,1582,126.2,5,1120000,,,,
maruti,wagon r,10,120000,cng,manual,998,58.2,5,200000,,,,
hyundai,i10,7,73000,petrol,manual,1197,78.9,5,345000,,,,
honda,jazz,3,15000,petrol,automatic,1199,88.7,5,725000,,,,
honda,amaze,8,29500,diesel,manual,1498,98.6,5,450000,,,,
hyundai,creta,5,25451,petrol,automatic,1591,121.3,5,1039000,,,,
honda,amaze,8,45000,petrol,manual,1198,86.7,5,350000,,,,
skoda,superb,10,61000,petrol,manual,1798,160.0,5,375000,,,,
maruti,alto,5,28000,petrol,automatic,998,67.1,5,350000,,,,
honda,jazz,6,15000,petrol,manual,1199,88.7,5,561000,,,,
maruti,alto,5,26000,cng,manual,796,47.3,5,280000,,,,
toyota,innova,3,52000,diesel,manual,2393,147.8,7,1650000,,,,
maruti,celerio,5,43782,petrol,manual,998,67.04,5,425000,,,,
toyota,innova,4,80000,diesel,automatic,2755,171.5,7,1825000,,,,
maruti,ertiga,5,56000,diesel,manual,1248,88.8,7,825000,,,,
maruti,wagon r,4,15000,petrol,automatic,998,67.0,5,505000,,,,
honda,city,14,85000,petrol,manual,1497,78.0,5,175000,,,,
maruti,ertiga,4,60000,diesel,manual,1248,88.5,7,855000,,,,
hyundai,verna,5,63000,diesel,automatic,1493,113.42,5,751000,,,,
toyota,camry,5,119851,petrol,automatic,2494,178.4,5,1250000,,,,
maruti,baleno,3,30000,petrol,manual,1197,83.1,5,490000,,,,
honda,jazz,6,82503,diesel,manual,1498,98.6,5,611000,,,,
ford,figo,8,34000,petrol,manual,1196,70.0,5,295000,,,,
honda,jazz,5,39000,diesel,manual,1498,98.6,5,485000,,,,
maruti,swift,3,54000,diesel,manual,1248,74.0,5,685000,,,,
toyota,innova,3,42000,diesel,automatic,2393,147.51,7,2090000,,,,
volkswagen,vento,7,45260,petrol,automatic,1197,103.2,5,499000,,,,
maruti,vitara,5,110000,diesel,manual,1248,88.5,5,710000,,,,
renault,duster,7,79600,diesel,manual,1461,83.8,5,550000,,,,
maruti,ertiga,6,31000,cng,manual,1373,80.9,7,685000,,,,
maruti,ciaz,4,27001,petrol,automatic,1373,91.1,5,845000,,,,
honda,city,12,67500,petrol,automatic,1497,118.0,5,290000,,,,
volkswagen,polo,5,22500,petrol,automatic,1197,103.5,5,680000,,,,
hyundai,verna,4,50000,diesel,manual,1582,126.2,5,1100000,,,,
maruti,ignis,4,80000,diesel,manual,1248,74.0,5,480000,,,,
renault,duster,5,50000,diesel,manual,1461,83.8,5,850000,,,,
maruti,wagon r,7,34000,petrol,manual,998,67.04,5,325000,,,,
toyota,innova,7,79000,diesel,manual,2494,100.6,7,1140000,,,,
hyundai,grand,5,47500,petrol,manual,1197,82.0,5,450000,,,,
hyundai,i20,3,25000,diesel,manual,1396,88.73,5,850000,,,,
maruti,alto,8,60000,petrol,manual,796,47.3,5,180000,,,,
mahindra,bolero,10,31000,diesel,manual,1493,70.0,7,448000,,,,
maruti,swift dzire,7,90000,diesel,manual,1248,74.0,5,580000,,,,
maruti,wagon r,6,48000,cng,manual,998,58.16,5,325000,,,,
bmw,x1,5,14000,diesel,automatic,1995,188.0,5,2850000,,,,
mahindra,xuv500,3,60000,diesel,manual,1997,140.0,7,1000000,,,,
maruti,alto,11,69000,petrol,manual,998,67.1,5,150000,,,,
mercedes-benz,c-class,2,7000,diesel,automatic,2143,170.0,5,3800000,,,,
bmw,5,5,30000,petrol,automatic,1997,184.0,5,3000000,,,,
maruti,ertiga,7,68880,diesel,manual,1248,88.76,7,645000,,,,
mahindra,bolero,3,43214,diesel,manual,2523,62.1,7,755000,,,,
maruti,ciaz,5,59000,petrol,automatic,1373,91.1,5,690000,,,,
bmw,3,7,55000,diesel,automatic,1995,184.0,5,1685000,,,,
renault,duster,8,47000,diesel,manual,1461,83.8,5,625000,,,,
ford,ecosport,6,71893,diesel,manual,1498,98.96,5,611000,,,,
mahindra,kuv100,2,15000,petrol,manual,1198,82.0,6,570000,,,,
volkswagen,vento,6,48000,diesel,manual,1498,108.49,5,699000,,,,
toyota,innova,10,80000,diesel,manual,2494,102.0,8,750000,,,,
volkswagen,vento,8,51500,petrol,automatic,1197,103.2,5,475000,,,,
maruti,alto,5,65000,petrol,manual,796,47.3,5,285000,,,,
renault,duster,8,38900,diesel,manual,1461,83.8,5,500000,,,,
skoda,octavia,4,22000,petrol,automatic,1798,177.5,5,1399000,,,,
mercedes-benz,c-class,8,89172,diesel,automatic,2143,170.0,5,1400000,,,,
toyota,innova,3,25000,diesel,manual,2393,147.51,8,1925000,,,,
mahindra,xuv500,6,140000,diesel,manual,2179,140.0,7,1050000,,,,
toyota,innova,5,108000,diesel,manual,2494,100.6,7,1125000,,,,
maruti,swift,4,95079,diesel,manual,1248,74.0,5,610000,,,,
honda,city,8,61000,cng,manual,1497,116.3,5,495000,,,,
hyundai,verna,4,25000,diesel,automatic,1582,126.2,5,975000,,,,
hyundai,i20,3,27000,petrol,manual,1197,81.83,5,615000,,,,
maruti,swift dzire,10,120000,petrol,manual,1197,81.8,5,324000,,,,
hyundai,grand,7,36000,petrol,manual,1197,82.0,5,440000,,,,
maruti,ciaz,2,2950,petrol,automatic,1462,103.25,5,1100000,,,,
maruti,celerio,5,16393,petrol,automatic,998,67.04,5,450000,,,,
